code,parent,qty,item,procumenttype,pfep,level,Name,Spec
2532000229,2532000228,1,1,A,,1,机箱总成,PF3200-01-00
2532000230,2532000229,1,1,A,,2,中心机构,PF3200-01-01-00
2532000231,2532000230,1,1,A,,3,固定机构组件,PF3200-01-01-01-00
2532000232,2532000231,1,1,A,,4,中心安装板组件,PF3200-01-01-01-01-00
2532000001,2532000232,1,1,B,,5,中心架构安装板,PF3200-01-01-01-01-01-01
2532000005,2532000232,1,2,B,,5,底板,PF3200-01-01-01-02
2532000007,2532000232,1,3,B,,5,右支撑板,PF3200-01-01-01-04
2532000006,2532000232,1,4,B,,5,左支撑板,PF3200-01-01-01-03
2532000172,2532000232,2,5,B,,5,出入线嘴护套,PF3200-01-01-01-09
2532000169,2532000232,2,6,B,,5,支撑轮销轴,PF3200-01-01-01-01-01-03
2532000170,2532000232,1,7,B,,5,涨紧块支撑座,PF3200-01-01-01-01-01-04
2532000234,2532000232,1,8,A,,5,安全门开关组件,PF3200-01-01-01-01-01-05-00
2532000004,2532000234,1,1,B,,6,门开关固定块,PF3200-01-01-01-01-01-05-01
1501048018,2532000234,1,2,B,,6,安全门开关,D4NS-9BF
1401015010,2532000234,2,3,B,,6,内六角圆柱头螺钉,4*30不锈钢
1401010004,2532000234,2,4,B,,6,平垫圈,Φ4不锈钢
1401011002,2532000234,2,5,B,,6,弹簧垫圈,Φ4 不锈钢
2532000241,2532000232,1,9,A,,5,压力调节组件,PF3200-01-01-01-08-00
2532000069,2532000241,1,1,B,,6,压力调节安装板,PF3200-01-01-01-08-01
1501158006,2532000241,1,2,B,,6,压力表,F-GU4010M
1503004072,2532000241,1,3,B,,6,内螺纹弯头,PLF601
1503016003,2532000241,1,4,B,,6,调压阀,SR20006N
1503003060,2532000241,1,5,B,,6,直通,PC601
1503004058,2532000241,2,6,B,,6,弯头,PL601
2532000235,2532000232,1,10,A,,5,动力轴承箱组件,PF3200-01-01-01-01-02-00
2532000009,2532000235,1,1,B,,6,下主动轴,PF3200-01-01-01-01-02-02
2532000008,2532000235,1,2,B,,6,传动轴承箱下,PF3200-01-01-01-01-02-01
1402002012,2532000235,1,3,B,,6,轴承（进口）,62/22
1403001011,2532000235,1,4,B,,6,轴用弹性挡圈,22
1402002007,2532000235,1,5,B,,6,轴承（进口）,6204
2532000236,2532000232,1,11,A,,5,从动轴承箱组件,PF3200-01-01-01-01-03-00
2532000010,2532000236,1,1,B,,6,从动轴,PF3200-01-01-01-01-03-01
2532000008,2532000236,1,2,B,,6,传动轴承箱下,PF3200-01-01-01-01-02-01
1402002012,2532000236,1,3,B,,6,轴承（进口）,62/22
1402002007,2532000236,1,4,B,,6,轴承（进口）,6204
1403001011,2532000236,1,5,B,,6,轴用弹性挡圈,22
2532000237,2532000232,1,12,A,,5,动力轮组件,PF3200-01-01-01-01-04-00
2532000012,2532000237,1,1,B,,6,电机降速轮66齿,PF3200-01-01-01-01-04-01
2532000013,2532000237,1,2,B,,6,动力轮30齿,PF3200-01-01-01-01-04-02
2532000014,2532000237,1,3,B,,6,动力轮30齿挡边,PF3200-01-01-01-01-04-03
2532000015,2532000237,1,4,B,,6,动力齿垫板,PF3200-01-01-01-01-04-04
1401015069,2532000237,4,5,B,,6,内六角圆柱头螺钉,5*30  不锈钢
1401009030,2532000237,4,6,B,,6,内六角沉头螺钉,3*8 不锈钢 全螺纹
2532000238,2532000232,1,13,A,,5,定位挡辊组件,PF3200-01-01-01-01-05-00
2532000239,2532000238,1,1,A,,6,移动挡辊组,PF3200-01-01-01-01-05-02-00
2532000018,2532000239,1,1,B,,7,挡辊固定板下,PF3200-01-01-01-01-05-02-03
2532000017,2532000239,1,2,B,,7,挡辊护槽,PF3200-01-01-01-01-05-02-01
2532000020,2532000239,1,3,B,,7,挡轮,PF3200-01-01-01-01-05-02-04
2532000019,2532000239,1,4,B,,7,挡辊固定板上,PF3200-01-01-01-01-05-02-02
1401015016,2532000239,2,5,B,,7,内六角圆柱头螺钉,5*16不锈钢
1401001009,2532000239,1,6,B,,7,丝杠螺母,JFRM-202020TR8*1.5
1401015008,2532000239,2,7,B,,7,内六角圆柱头螺钉,4*16不锈钢
1401010004,2532000239,2,8,B,,7,平垫圈,Φ4不锈钢
1402001336,2532000239,2,9,B,,7,凸台轴承,F619-8
1401073080,2532000239,1,10,B,,7,圆柱销,8*65
1401010006,2532000239,2,11,B,,7,平垫圈,Φ8不锈钢
1402001335,2532000239,3,12,B,,7,滑膜,GSM-0812-09
1401015018,2532000239,2,13,B,,7,内六角圆柱头螺钉,5*25不锈钢
2532000022,2532000238,1,2,B,,6,梯形丝杠8-1.5,PF3200-01-01-01-01-05-04
2532000016,2532000238,1,3,B,,6,定位挡轮固定座,PF3200-01-01-01-01-05-01
2532000021,2532000238,1,4,B,,6,挡辊光轴,PF3200-01-01-01-01-05-03
1402001088,2532000238,1,5,B,,6,轴承,626
1403001020,2532000238,1,6,B,,6,轴用弹性挡圈,6
1403003004,2532000238,1,7,B,,6,孔用  弹性挡圈,19
1409037016,2532000238,1,8,B,,6,旋钮,15-15-6
1401015014,2532000238,1,9,B,,6,内六角圆柱头螺钉,5*12不锈钢
1501028008,2532000232,5,14,B,,5,可调式电线固定座,ACT-17
1401015026,2532000232,10,15,B,,5,内六角圆柱头螺钉,6*16不锈钢
1401015016,2532000232,8,16,B,,5,内六角圆柱头螺钉,5*16不锈钢
1401015017,2532000232,4,17,B,,5,内六角圆柱头螺钉,5*20不锈钢
1401011005,2532000232,3,18,B,,5,弹簧垫圈,Φ6不锈钢
1401015027,2532000232,15,19,B,,5,内六角圆柱头螺钉,6*20不锈钢
1401008029,2532000232,4,20,B,,5,内六角平圆头螺钉,4*10不锈钢
1401009002,2532000232,5,21,B,,5,内六角沉头螺钉,4*10不锈钢全螺纹
1401015008,2532000232,2,22,B,,5,内六角圆柱头螺钉,4*16不锈钢
1103004067,2532000232,1,23,B,,5,平键,6*20  两端圆头
2532000246,2532000231,1,2,A,,4,浮动机构组件,PF3200-01-01-02-00
2532000247,2532000246,1,1,A,,5,浮动座组件,PF3200-01-01-02-01-00
2532000036,2532000247,1,1,B,,6,浮动座-滑膜,PF3200-01-01-02-01-01
2532000176,2532000247,2,2,B,,6,浮动座轴承端盖,PF3200-01-01-02-01-02
2532000038,2532000247,1,3,B,,6,上主动轴,PF3200-01-01-02-01-03
2532000010,2532000247,1,4,B,,6,从动轴,PF3200-01-01-01-01-03-01
1402002007,2532000247,2,5,B,,6,轴承（进口）,6204
1402002012,2532000247,2,6,B,,6,轴承（进口）,62/22
1403001011,2532000247,2,7,B,,6,轴用弹性挡圈,22
1401015026,2532000247,8,8,B,,6,内六角圆柱头螺钉,6*16不锈钢
1402001364,2532000247,4,9,B,,6,滑膜,GSM-1618-20
2532000248,2532000246,1,2,A,,5,支撑轮安装座组件,PF3200-01-01-02-02-00
2532000177,2532000248,1,1,B,,6,浮动支撑轮安装座,PF3200-01-01-02-02-01
2532000170,2532000248,1,2,B,,6,涨紧块支撑座,PF3200-01-01-01-01-01-04
2532000169,2532000248,2,3,B,,6,支撑轮销轴,PF3200-01-01-01-01-01-03
1401015026,2532000248,2,4,B,,6,内六角圆柱头螺钉,6*16不锈钢
1401015027,2532000248,2,5,B,,6,内六角圆柱头螺钉,6*20不锈钢
1401011005,2532000248,2,6,B,,6,弹簧垫圈,Φ6不锈钢
2532000249,2532000246,1,3,A,,5,内部从动齿组件,PF3200-01-01-02-03-00
2532000040,2532000249,1,1,B,,6,动力轮30齿上,PF3200-01-01-02-03-01
