code,parent,qty,item,procumenttype,pfep,level,Name,Spec
2529100081,2532000227,1,1,A,,1,检测底座组件,PF3200-05-10-00
2532000156,2529100081,1,1,B,,2,远端检测底座,PF3200-05-01
1401078025,2529100081,4,2,B,,2,地脚,M10*100*60 固定 不锈钢
1401019004,2529100081,8,3,B,,2,六角螺母,M10不锈钢
2529100082,2532000227,1,2,A,,1,线缆检测组件,PF3200-05-11-00
2532000157,2529100082,2,1,B,,2,40R型材,PF3200-05-02
2532000297,2529100082,1,2,A,,2,检测上限位组件,PF3200-05-03-00
2532000158,2532000297,1,1,B,,3,检测芯轴,PF3200-05-03-01
2532000159,2532000297,1,2,B,,3,检测指针安装圈,PF3200-05-03-02
2532000211,2532000297,1,3,B,,3,上下限位检测轴,PF3200-05-03-03
2532000213,2532000297,1,4,B,,3,上限位检测柄,PF3200-05-03-04
2532000302,2532000297,1,5,B,,3,40R型材固定条,PF3200-05-03-05
2532000303,2532000297,1,6,B,,3,检测位置固定板上,PF3200-05-03-06
2532000217,2532000297,1,7,B,,3,涨紧轮垫圈,PF3200-01-01-01-12-04
1403003004,2532000297,1,8,B,,3,孔用  弹性挡圈,19
1402001346,2532000297,2,9,B,,3,轴承,619-8
1401010004,2532000297,1,10,B,,3,平垫圈,Φ4不锈钢
1401019006,2532000297,4,11,B,,3,六角螺母,M4不锈钢
1401014010,2532000297,1,12,B,,3,内六角平端紧定螺钉,8*10不锈钢
1401038033,2532000297,1,13,B,,3,内六角圆柱头螺钉,8*12蓝白锌全螺纹
1401015007,2532000297,1,14,B,,3,内六角圆柱头螺钉,4*10不锈钢
1401015008,2532000297,2,15,B,,3,内六角圆柱头螺钉,4*16不锈钢
2532000298,2529100082,1,3,A,,2,检测下限位组件,PF3200-05-04-00
2532000158,2532000298,1,1,B,,3,检测芯轴,PF3200-05-03-01
2532000159,2532000298,1,2,B,,3,检测指针安装圈,PF3200-05-03-02
2532000211,2532000298,1,3,B,,3,上下限位检测轴,PF3200-05-03-03
2532000302,2532000298,1,4,B,,3,40R型材固定条,PF3200-05-03-05
2532000214,2532000298,1,5,B,,3,下限位检测柄,PF3200-05-04-01
2532000215,2532000298,1,6,B,,3,平衡配重块,PF3200-05-04-02
2532000304,2532000298,1,7,B,,3,检测位置固定板下,PF3200-05-04-04
2532000217,2532000298,1,8,B,,3,涨紧轮垫圈,PF3200-01-01-01-12-04
1403003004,2532000298,1,9,B,,3,孔用  弹性挡圈,19
1402001346,2532000298,2,10,B,,3,轴承,619-8
1401010004,2532000298,1,11,B,,3,平垫圈,Φ4不锈钢
1401014013,2532000298,2,12,B,,3,内六角平端紧定螺钉,4*5不锈钢顶丝
1401019006,2532000298,4,13,B,,3,六角螺母,M4不锈钢
1401014010,2532000298,1,14,B,,3,内六角平端紧定螺钉,8*10不锈钢
1401038033,2532000298,1,15,B,,3,内六角圆柱头螺钉,8*12蓝白锌全螺纹
1401015007,2532000298,1,16,B,,3,内六角圆柱头螺钉,4*10不锈钢
1401015008,2532000298,2,17,B,,3,内六角圆柱头螺钉,4*16不锈钢
